Entity A;Entity B;;
2720;C0085131;;
79621;C0376358;;
1639;C0036341;;
5625;C2676742;;
285203;C0376358;;
5718;C0751779;;
673;C0206698;;
27031;C0162671;;
4015;C0004352;;
4323;C4722327;;
7015;C4721952;;
7037;C1510586;;
5621;C0376358;;
2784;C1850362;;
4846;C0024117;;
894;C4012727;;
3767;C4554007;;
2936;C0729264;;
5332;C1850598;;
3047;C0009405;;
6337;C0004943;;
3814;C1168401;;
134218;C3808553;;
1303;C0345967;;
55967;C0019569;;
3295;C0043459;;
1144;C4084823;;
23435;C0543859;;
3553;C0009402;;
238;C0007131;;
1027;C1333990;;
7421;C0007785;;
778;C4041558;;
9131;C0751208;;
4724;C2931891;;
1292;C0032914;;
55811;C0342639;;
4158;C1857355;;
2202;C0025149;;
5424;C1720779;;
3458;C0036341;;
7099;C0009402;;
2516;C0752121;;
2624;C1704423;;
4035;C0036341;;
9464;C4551702;;
1027;C0023467;;
7062;C1621958;;
1687;C0009402;;
54822;C0028754;;
3559;C2700553;;
2773;C0036341;;
7468;C0007131;;
23400;C0006142;;
2798;C3489396;;
6578;C4284790;;
9897;C4551776;;
10020;C0018818;;
6774;C0149925;;
779;C0006142;;
23400;C1850598;;
4091;C0006142;;
3119;C1720860;;
125;C0028754;;
2735;C1708349;;
2064;C0206698;;
7157;C4748488;;
84876;C0346402;;
3479;C0002395;;
65266;C1449842;;
9885;C0752120;;
1719;C1720860;;
57572;C2931779;;
3479;C0006142;;
80184;C0006142;;
3123;C0079770;;
1109;C4551902;;
55967;C4707243;;
10734;C0085215;;
51095;C4310776;;
23476;C0004352;;
57572;C0036341;;
7512;C0342384;;
4723;C0023264;;
975;C0005283;;
841;C1858302;;
2895;C0752121;;
4851;C0006142;;
2911;C0036069;;
3119;C0276496;;
3549;C0238198;;
253017;C0376329;;
3557;C2239176;;
6926;C3463824;;
150094;C0175702;;
9378;C0345904;;
5296;C0476089;;
7390;C0036341;;
596;C0036341;;
4088;C0010346;;
7053;C2239176;;
92344;C0029459;;
5328;C0376358;;
9968;C0006142;;
7545;C2936783;;
2146;C0476089;;
27022;C1842979;;
2184;C0268487;;
10452;C0002395;;
8443;C1832394;;
55739;C1708349;;
5728;C2931082;;
9516;C0032897;;
8558;C4540156;;
7841;C0009324;;
6812;C0917800;;
2273;C2749106;;
2072;C1142166;;
84667;C0032897;;
9839;C0024117;;
673;C0265341;;
1804;C0543859;;
9455;C0036341;;
1140;C4084823;;
60;C4554007;;
23250;C1863561;;
2670;C0004352;;
10555;C0752122;;
3162;C4539824;;
89780;C1961102;;
1120;C0751362;;
81794;C1869115;;
284217;C0023467;;
5921;C3501846;;
26040;C4015141;;
6774;C3837958;;
4292;C2931891;;
672;C2239176;;
25828;C0023467;;
84976;C3179349;;
5979;C4551804;;
24;C0752124;;
1297;C0023467;;
10667;C0023264;;
5993;C1861172;;
5290;C0023467;;
6997;C0027819;;
3315;C0026764;;
1312;C0006142;;
5192;C0028754;;
201294;C0346153;;
6335;C0393702;;
1201;C1708349;;
9759;C0005684;;
6929;C4721444;;
23424;C4015050;;
2539;C1868675;;
5781;C0014084;;
196;C0006142;;
10019;C4479424;;
2138;C0795907;;
1959;C2239176;;
3077;C0162532;;
324;C1510586;;
3350;C0024117;;
5092;C4048809;;
8314;C4551804;;
5468;C0022650;;
4292;C0476089;;
55215;C2239176;;
3590;C0038454;;
148789;C1836373;;
10019;C1961102;;
5582;C2751811;;
2313;C0025149;;
79644;C0010346;;
1750;C1857344;;
2100;C0025149;;
6774;C0009324;;
5896;C2931884;;
5091;C1708349;;
345611;C0752124;;
331;C1862939;;
3553;C0238198;;
5395;C4552100;;
1387;C1961102;;
144568;C1968843;;
58;C3645536;;
27241;C3541456;;
2670;C0002736;;
4088;C4721886;;
1674;C1708349;;
340061;C0024145;;
6833;C0403825;;
7099;C1846545;;
11200;C0752120;;
1909;C0008312;;
2321;C4551479;;
2274;C0027708;;
55215;C0023467;;
7020;C0751084;;
255758;C0036341;;
7099;C3463824;;
83854;C1852555;;
23474;C1961102;;
5922;C0025286;;
7037;C4284790;;
1021;C0028754;;
324;C0175704;;
5297;C0036341;;
7421;C4551552;;
9719;C0036391;;
3575;C3887485;;
4478;C0271979;;
54551;C0032897;;
6310;C0752123;;
779;C1857970;;
118429;C0279702;;
26154;C4551630;;
9790;C0587248;;
7046;C4707243;;
6237;C1275081;;
55703;C0342384;;
3490;C0376358;;
8289;C1708349;;
491;C0751291;;
150094;C1449563;;
3931;C0015625;;
5745;C2931891;;
11200;C1333991;;
80781;C0023473;;
7222;C0752124;;
3856;C0008312;;
5265;C2717906;;
57817;C4520983;;
84667;C1853296;;
9570;C1845076;;
2109;C2239176;;
55812;C1858677;;
4842;C0751779;;
4088;C4707243;;
2736;C0238198;;
10584;C2239176;;
1499;C1449563;;
3972;C1876203;;
5921;C0587248;;
4292;C0035334;;
147138;C4722258;;
22880;C0752121;;
55572;C0010346;;
326;C0270724;;
6041;C0684249;;
1028;C2675522;;
930;C0006142;;
3123;C1275081;;
8754;C1423873;;
4318;C0376358;;
10483;C0271933;;
90;C0085576;;
7517;C1708349;;
585;C1850598;;
5195;C2931850;;
54862;C1838023;;
27030;C0175704;;
57697;C0003873;;
22880;C0949658;;
4595;C0270724;;
79867;C0220697;;
55280;C0752124;;
1718;C0041409;;
6515;C0087031;;
3667;C0949658;;
2147;C0041409;;
79633;C1140680;;
1956;C1850597;;
255758;C0024507;;
51567;C0175704;;
7436;C0266470;;
8289;C0752124;;
6492;C0006142;;
4683;C0024305;;
6223;C0004352;;
10664;C0010346;;
8792;C4085251;;
2;C3489793;;
7124;C1856059;;
166378;C4310809;;
1634;C0476089;;
79731;C1419610;;
4254;C0009402;;
4976;C0036341;;
9319;C1961102;;
2006;C3276539;;
5080;C4554007;;
6337;C1834558;;
5740;C0457133;;
6391;C0376358;;
5663;C0002395;;
9180;C3203102;;
55532;C1868675;;
54982;C0036341;;
23562;C0022650;;
79644;C1851936;;
8021;C3541456;;
775;C1142166;;
134218;C0036341;;
4089;C1853296;;
7015;C1867450;;
1410;C0009081;;
23040;C0007131;;
1355;C2931891;;
7042;C1846545;;
1910;C0019569;;
6926;C0038454;;
1786;C0020074;;
3569;C0524620;;
64241;C0038454;;
9786;C0085298;;
5468;C2751306;;
710;C0022584;;
6514;C0006142;;
1956;C2749106;;
57167;C0018818;;
7249;C0005684;;
396;C3808874;;
3621;C1708349;;
238;C0029463;;
6660;C1510586;;
6658;C0022283;;
