Nr;Entity A;Entity B;BMA_Seco2004;BMA_Resnik1995;simGIC_Seco2004;simGIC_Resnik1995;MAX_Seco2004;MAX_Resnik1995;Label
2992;3868;C1721007;0.5906257580277813;0.38484800782321565;0.35041801048444005;0.34900308761469656;1.0;0.7418670990968165;1
2993;3872;C0265334;0.7431504364551018;0.49437133571584824;0.5385924564224592;0.5231973425361728;1.0;0.7418670990968165;1
2994;3872;C0279626;0.27640066941223873;0.19311030036046722;0.05067521891703589;0.054694986779461566;0.6608195189081659;0.4216019349329729;1
2995;3872;C1706595;0.6545611198722949;0.42240718964432505;0.23054593874452778;0.23352532619085092;1.0;0.7198210254318119;1
2996;3875;C0006142;0.34570331543420524;0.10927544545816824;0.027576977606828094;0.01331214889200404;0.7964917113448995;0.2496529855650891;1
2997;3875;C0345904;0.5663002169236947;0.30169327838911764;0.16443193608781545;0.15084288192676143;1.0;0.7325003434220777;1
2998;3897;C0279702;0.2223748396878325;0.07476049096150317;0.006420724341883963;0.003284277950377387;0.6608195189081659;0.16702383092000184;1
2999;3908;C0005684;0.26324964620193125;0.08334014576686137;0.004812875808535182;0.002368180662413486;0.6608195189081659;0.16702383092000184;1
3000;3908;C0036341;0.31595331059316767;0.14497395853889788;0.017920983104561573;0.012137181472101506;0.677446993895729;0.2553105062936732;1
3001;3909;C0079297;0.6748722690356269;0.42200621658743953;0.32740773571866577;0.33173359796125723;1.0;0.7761485735004662;1
3002;3909;C0079301;0.6748722690356269;0.42200621658743953;0.32740773571866577;0.33173359796125723;1.0;0.7761485735004662;1
3003;3909;C0079683;0.8524652424486827;0.5587999273239428;0.6571337762066697;0.6463760458693235;1.0;0.826744361243373;1
3004;3909;C0268374;0.6748722690356269;0.42200621658743953;0.32740773571866577;0.33173359796125723;1.0;0.7761485735004662;1
3005;3912;C0004352;0.3897881003118326;0.18384779900884074;0.09538106060543144;0.07677674783499534;0.8095600013881947;0.28756608446770515;1
3006;3912;C0009324;0.18508132743053243;0.08597244687602187;0.04333054469318421;0.04173967791856969;0.6608195189081659;0.1748842595467736;1
